2023-03-17 05:42:30 INFO     reading predictions from 'drive/MyDrive/Colab Notebooks/name/50/seq4/y_test.acc.txt'...
2023-03-17 05:42:31 INFO     predictions:               55980
2023-03-17 05:42:31 INFO     ground truth samples:      11196
2023-03-17 05:42:31 INFO     top-k: 5
2023-03-17 05:42:31 INFO     perfect match accuracy:
2023-03-17 05:42:31 INFO       top-1: 70.96% (7945/11196)
2023-03-17 05:42:31 INFO       top-2: 75.32% (8433/11196)
2023-03-17 05:42:31 INFO       top-3: 77.62% (8690/11196)
2023-03-17 05:42:31 INFO       top-4: 78.90% (8834/11196)
2023-03-17 05:42:31 INFO       top-5: 79.64% (8917/11196)
2023-03-17 05:42:31 INFO     average type prefix score (top-1): 0.7096
2023-03-17 05:42:31 INFO     average weighted type prefix score (top-1): 0.7096
2023-03-17 05:42:31 INFO     average Jaccard metric (top-1): 0.7096
2023-03-17 05:42:31 INFO     BLEU score (top-1, corpus): 0.8289
2023-03-17 05:42:31 INFO     most common mispredictions:
2023-03-17 05:42:31 INFO       ground truth (674 samples, 6.02% of all samples):
2023-03-17 05:42:31 INFO           move
2023-03-17 05:42:31 INFO       most common mispredictions (in total 665, 98.66% of this label is wrong):
2023-03-17 05:42:31 INFO          620 (93.23% of mispredictions) forward
2023-03-17 05:42:31 INFO           20 ( 3.01% of mispredictions) move_backward
2023-03-17 05:42:31 INFO           18 ( 2.71% of mispredictions) copy
2023-03-17 05:42:31 INFO            6 ( 0.90% of mispredictions) libcpp_clz
2023-03-17 05:42:31 INFO            1 ( 0.15% of mispredictions) copy_constexpr
2023-03-17 05:42:31 INFO       ground truth (527 samples, 4.71% of all samples):
2023-03-17 05:42:31 INFO           addressof
2023-03-17 05:42:31 INFO       most common mispredictions (in total 527, 100.00% of this label is wrong):
2023-03-17 05:42:31 INFO          510 (96.77% of mispredictions) forward
2023-03-17 05:42:31 INFO           17 ( 3.23% of mispredictions) libcpp_clz
2023-03-17 05:42:31 INFO       ground truth (226 samples, 2.02% of all samples):
2023-03-17 05:42:31 INFO           to_address
2023-03-17 05:42:31 INFO       most common mispredictions (in total 226, 100.00% of this label is wrong):
2023-03-17 05:42:31 INFO          212 (93.81% of mispredictions) forward
2023-03-17 05:42:31 INFO           14 ( 6.19% of mispredictions) libcpp_clz
2023-03-17 05:42:31 INFO       ground truth (68 samples, 0.61% of all samples):
2023-03-17 05:42:31 INFO           fwd
2023-03-17 05:42:31 INFO       most common mispredictions (in total 68, 100.00% of this label is wrong):
2023-03-17 05:42:31 INFO           64 (94.12% of mispredictions) forward
2023-03-17 05:42:31 INFO            1 ( 1.47% of mispredictions) mv
2023-03-17 05:42:31 INFO            1 ( 1.47% of mispredictions) fill
2023-03-17 05:42:31 INFO            1 ( 1.47% of mispredictions) libcpp_allocate
2023-03-17 05:42:31 INFO            1 ( 1.47% of mispredictions) operator!=
2023-03-17 05:42:31 INFO       ground truth (115 samples, 1.03% of all samples):
2023-03-17 05:42:31 INFO           copy
2023-03-17 05:42:31 INFO       most common mispredictions (in total 59, 51.30% of this label is wrong):
2023-03-17 05:42:31 INFO           30 (50.85% of mispredictions) uninitialized_copy
2023-03-17 05:42:31 INFO           24 (40.68% of mispredictions) move_backward
2023-03-17 05:42:31 INFO            5 ( 8.47% of mispredictions) get_case_fold_codes_by_str
2023-03-17 05:42:31 INFO       ground truth (67 samples, 0.60% of all samples):
2023-03-17 05:42:31 INFO           copy_backward
2023-03-17 05:42:31 INFO       most common mispredictions (in total 56, 83.58% of this label is wrong):
2023-03-17 05:42:31 INFO           25 (44.64% of mispredictions) uninitialized_copy
2023-03-17 05:42:31 INFO           19 (33.93% of mispredictions) copy
2023-03-17 05:42:31 INFO           11 (19.64% of mispredictions) move_backward
2023-03-17 05:42:31 INFO            1 ( 1.79% of mispredictions) get_case_fold_codes_by_str
